case_title,case_description,required_roles
Мультимодальный поиск по изображениям,"Проект ""Мультимодальный поиск по изображениям"" основан на использовании Milvus, открытой базы данных векторов, для создания поисковой системы, которая позволяет находить изображения по текстовым запросам. Процесс включает извлечение признаков изображений с помощью модели CLIP, преобразование их в векторы и сохранение в базе данных Milvus. При поступлении текстового запроса от пользователя, запрос также конвертируется в вектор с использованием модели CLIP, после чего выполняется поиск по векторному сходству для нахождения наиболее подходящих изображений.

Примерный User-Flow:
Ввод запроса: Пользователь вводит текстовый запрос, например, описание объекта или сцены.
Обработка запроса: Система преобразует текст запроса в вектор признаков с помощью модели CLIP.
Поиск: Производится поиск по базе данных Milvus для нахождения наиболее похожих векторов изображений.
Вывод результатов: Пользователю представляются изображения, наиболее соответствующие его запросу.

Этот проект представляет собой инновационное решение в области поиска информации, позволяя пользователям находить визуальный контент по текстовым описаниям, что делает поиск более интуитивно понятным и эффективным. Для более подробного ознакомления с проектом и технологиями, используемыми в нем, вы можете посетить официальный сайт Milvus​​.","ML engineer, Python Backend, DevOps, CV engineer, Аналитик"
Оптимальное распределение задач на основе психологического профиля и графика активности жильцов комнаты,"Результат проекта: Чат-бот, способный распределять задачи для жильцов комнаты/блока на основе их **психологического** портрета и их расписания.

Создание простого и эффективного чат-бота для распределения обязанностей жильцов одного/одной блока/комнаты","ML engineer, Python Backend, Аналитик, Дизайнер, Тестировщик"
БАМ,Определение контура железной дороги БАМ на спутниковых снимках с использованием нейронной сети.,"ML engineer, CV engineer, Python Backend, Тестировщик, Аналитик"
Система автоматического анализа электронного документа (PDF),"Требования: для анализа входящих неформазиованных электронных документов необходимо разработать систему анализа документа на основе:
1. Наличия печати
2. Наличия подписи в документе
3. Наличия признака договора
4. Наличия признака других стандартных документов (счет, накладная и т.п.)
","ML engineer, Python Backend, Тестировщик, Аналитик, Дизайнер"
Анализ новостей для предсказания движения акций на фондовом рынке,"#### Цель Проекта

Разработать систему анализа и предсказания движения акций компаний на фондовом рынке на основе анализа новостей из СМИ и телеграм-каналов. Проект направлен на изучение взаимосвязи между новостным контентом и поведением акций, а также разработку модели машинного обучения, способной предсказывать изменения в цене акций на основе анализа полученных данных.

**Основные задачи**

1. *Сбор и предобработка данных:*

- Автоматизировать процесс сбора новостей из различных СМИ и телеграм-каналов, связанных с финансовым рынком и конкретными компаниями.
- Очистить данные от шума, несущественной информации и предобработать текст для анализа (удаление стоп-слов, лемматизация).

2. *Анализ сентимента:*

- Разработать или интегрировать существующие инструменты для анализа сентимента новостей, чтобы оценить общее отношение (позитивное, нейтральное, негативное) к упомянутой компании.

3. *Корреляционный анализ:*

- Исследовать корреляцию между изменениями в сентименте новостей и движениями цен акций компаний.

4. *Разработка модели предсказания:*

- На основе полученных данных разработать модель машинного обучения, которая сможет предсказывать движение акций на короткий срок.

5. *Тестирование и валидация:*

- Провести обширное тестирование модели на исторических данных, анализировать ошибки и точность предсказаний.
- Валидировать модель, используя свежие данные, чтобы проверить её способность к адаптации к текущему рыночному контексту.

#### Технические Инструменты

- *Сбор данных*: Python (библиотеки requests, BeautifulSoup для веб-скрапинга).
- *Предобработка и анализ данных*: Python (NLTK, spaCy для обработки текста; pandas для обработки данных).
- *Моделирование:* Python (библиотеки Scikit-learn, TensorFlow или PyTorch для разработки моделей машинного обучения).
- *Визуализация*: Python (Matplotlib, Seaborn для визуализации результатов).

#### Ожидаемые Результаты

- Разработанная система способна анализировать новостные данные и на их основе делать предсказания относительно движения акций на фондовом рынке.
- Подробный анализ точности и надёжности модели, включая её способность адаптироваться к изменяющимся рыночным условиям.
- Рекомендации по дальнейшему улучшению и масштабированию системы.

#### Значение Проекта

Проект позволит глубже понять влияние публичного настроения, отражённого в СМИ и телеграм-каналах, на фондовый рынок. Результаты могут быть использованы для разработки торговых стратегий, улучшения инвестиционного анализа и предоставления ценных инсайтов инвесторам и аналитикам.","ML engineer, Python Backend, Аналитик, Дизайнер, Тестировщик"
Валидация панельных и вихревых методов для расчетов аэродинамических профилей и крыльев ЛА,"**Суть задачи:** оценить применимость панельных методов для прогнозирования аэродинамических интегральных сил при расчетах аэродинамических профилей (2D) и крыльев ЛА (3D).

**Задание:**

1.	Провести обзор имеющихся методов расчетов (панельные методы, вихревые методики, методы полного потенциала и т.д.) и имеющихся расчетных средств
2.	Валидировать расчетные средства путем сравнения результатов расчетов упрощенными методами и методом CFD (Ansys Fluent или аналоги)
3.	Произвести валидацию XFoil для расчетов характеристик аэродинамических профилей (2D) разных классов (симметричные, несимметричные, суперкритические - по указанию руководителя практики)
4.	Произвести валидацию XFLR5, AVL, OpenVogel для расчетов аэродинамических характеристик крыльев (3D)
","Аналитик, Инженер БПЛА, ML engineer, Python Backend, Тестировщик"
Система прогнозирования использования складских мощностей,"Требования:
На основе имеющихся статистических данных загрузки складов провести аналитику и выбелить зависимости в данных для прогнозирования резервирования складских мощностей в будущем. 
Датасет предоставляется.","Аналитик, ML engineer, Python Backend, DevOps, Тестировщик"
Ледовая разведка,Мониторинг ледников и ледовая разведка в Баренцевом море методами машинного обучения по данным ДЗЗ ,"ML engineer, Python Backend, Аналитик, CV engineer, Дизайнер"
Рекламная кампания по продвижению,"Разработать маркетинговый спецпроект с системой персональных рекомендаций по составлению гардероба для привлечения женской аудитории на Озон 

🔹Провести исследование рынка и проанализировать конкурентов 

Задачу можно решить разными способами:

✅сделать чат-бот

✅внедрить механику в сайт (а это значит , придумать свой алгоритм)

✅или вообще сделать консультацию с блогером 

И как результат: предоставить прототип своего решения (в фигме/тильде/собрать сайт/сделать чат бот ). 
","Дизайнер, Аналитик, Frontend, ML engineer, Python Backend"
Классификация патологий в офтальмологии методом машинного обучения,"Результатом работы предполагается система анализа и выявления глаукомы по изображениям глазного дна, позволяющая снизить временные затраты на обследование и вероятность врачебной ошибки.

Опционально планируется добавить текстовую интерпретацию изображений и глазного дна и увеличить количество выявляемых патологий.

*Предполагаемая целевая аудитория:* 

- [ ] Врачи-офтальмологи, работающие в государственных и частных медицинских учреждениях, которые могут использовать результаты анализа для диагностики и лечения пациентов. 
- [ ] Медицинские исследовательские центры и институты, занимающиеся изучением и разработкой новых методов лечения заболеваний глазного дна. 
- [ ] Фармацевтические компании, производящие препараты для лечения заболеваний глаз, которые могут использовать полученные данные для разработки новых лекарств и улучшения существующих.","ML engineer, Python Backend, Аналитик, Дизайнер, Тестировщик"
