iter	Logloss
0	0.6923996083
1	0.6920794509
2	0.6909279088
3	0.6902180355
4	0.6894311079
5	0.6882104772
6	0.6873342718
7	0.6872548433
8	0.6871005423
9	0.686999477
10	0.6863461929
11	0.6861362865
12	0.6857452848
13	0.6849519147
14	0.684487753
15	0.6840835624
16	0.6834024662
17	0.6821837435
18	0.6813862992
19	0.6812799896
20	0.6807973831
21	0.6806164449
22	0.6805940624
23	0.6804901026
24	0.6798098619
25	0.6795254045
26	0.6793274475
27	0.6793230825
28	0.6784880696
29	0.6783484188
30	0.6776348635
31	0.6768126116
32	0.6761962394
33	0.6759038804
34	0.6755143329
35	0.6751058051
36	0.6750369341
37	0.6746969966
38	0.6746109091
39	0.6740984984
40	0.6740467909
41	0.6735951847
42	0.6733378638
43	0.6729058866
44	0.6725540396
45	0.6725227803
46	0.6722496769
47	0.6719299655
48	0.671546502
49	0.6711598492
50	0.6704247821
