iter	Passed	Remaining
0	29	29479
1	63	31513
2	90	30024
3	116	28916
4	144	28691
5	173	28784
6	202	28686
7	203	25288
8	219	24138
9	228	22574
10	259	23316
11	287	23676
12	301	22890
13	328	23133
14	358	23516
15	385	23707
16	413	23895
17	442	24140
18	472	24388
19	475	23287
20	502	23444
21	532	23658
22	540	22956
23	569	23154
24	603	23539
25	630	23629
26	638	23011
27	641	22267
28	670	22444
29	697	22550
30	723	22630
31	751	22740
32	780	22860
33	807	22949
34	835	23023
35	862	23104
36	865	22531
37	895	22664
38	921	22705
39	949	22781
40	979	22901
41	1006	22949
42	1032	22980
43	1059	23014
44	1089	23112
45	1090	22613
46	1121	22737
47	1151	22838
48	1178	22882
49	1206	22918
50	1233	22961
